Episode 232/20000 => steps=30, reward=6036.785, coverage=81/81 (100.0%)
Episode 233/20000 => steps=592, reward=106267.538, coverage=81/81 (100.0%)
Episode 234/20000 => steps=16, reward=3264.459, coverage=81/81 (100.0%)
Episode 235/20000 => steps=15, reward=3364.771, coverage=81/81 (100.0%)
Episode 236/20000 => steps=33, reward=6005.833, coverage=81/81 (100.0%)
Episode 237/20000 => steps=205, reward=37213.819, coverage=81/81 (100.0%)
Episode 238/20000 => steps=151, reward=27698.392, coverage=81/81 (100.0%)
Episode 239/20000 => steps=12, reward=2445.219, coverage=81/81 (100.0%)
Episode 240/20000 => steps=80, reward=13959.928, coverage=81/81 (100.0%)
Episode 241/20000 => steps=226, reward=40782.159, coverage=81/81 (100.0%)
Episode 242/20000 => steps=221, reward=39790.980, coverage=81/81 (100.0%)
Episode 243/20000 => steps=188, reward=34458.310, coverage=81/81 (100.0%)
Episode 244/20000 => steps=81, reward=14987.928, coverage=81/81 (100.0%)
Episode 245/20000 => steps=26, reward=4652.898, coverage=81/81 (100.0%)
Episode 246/20000 => steps=25, reward=4913.334, coverage=81/81 (100.0%)
Episode 247/20000 => steps=22, reward=4537.582, coverage=81/81 (100.0%)
Episode 248/20000 => steps=27, reward=5222.381, coverage=81/81 (100.0%)
Episode 249/20000 => steps=22, reward=4458.832, coverage=81/81 (100.0%)
Episode 250/20000 => steps=11, reward=2451.929, coverage=81/81 (100.0%)
Episode 251/20000 => steps=57, reward=10259.754, coverage=81/81 (100.0%)
Episode 252/20000 => steps=20, reward=3958.493, coverage=81/81 (100.0%)
Episode 253/20000 => steps=587, reward=105253.693, coverage=81/81 (100.0%)
Episode 254/20000 => steps=26, reward=4819.203, coverage=81/81 (100.0%)
Episode 255/20000 => steps=20, reward=4009.638, coverage=81/81 (100.0%)
Episode 256/20000 => steps=21, reward=4005.882, coverage=81/81 (100.0%)
Episode 257/20000 => steps=25, reward=4973.048, coverage=81/81 (100.0%)
Episode 258/20000 => steps=321, reward=57596.949, coverage=81/81 (100.0%)
Episode 259/20000 => steps=28, reward=5769.218, coverage=81/81 (100.0%)
Episode 260/20000 => steps=16, reward=3389.816, coverage=81/81 (100.0%)
Episode 261/20000 => steps=172, reward=31647.964, coverage=81/81 (100.0%)
Episode 262/20000 => steps=22, reward=4365.699, coverage=81/81 (100.0%)
Episode 263/20000 => steps=230, reward=41459.369, coverage=81/81 (100.0%)
Episode 264/20000 => steps=142, reward=26238.054, coverage=81/81 (100.0%)
Episode 265/20000 => steps=10, reward=2459.370, coverage=81/81 (100.0%)
Episode 266/20000 => steps=311, reward=55489.146, coverage=81/81 (100.0%)
Episode 267/20000 => steps=105, reward=19964.319, coverage=81/81 (100.0%)
Episode 268/20000 => steps=157, reward=28128.429, coverage=81/81 (100.0%)
Episode 269/20000 => steps=20, reward=4051.286, coverage=81/81 (100.0%)
Episode 270/20000 => steps=29, reward=5444.352, coverage=81/81 (100.0%)
Episode 271/20000 => steps=291, reward=51572.937, coverage=81/81 (100.0%)
Episode 272/20000 => steps=19, reward=3936.377, coverage=81/81 (100.0%)
Episode 273/20000 => steps=18, reward=3737.799, coverage=81/81 (100.0%)
Episode 274/20000 => steps=14, reward=2997.461, coverage=81/81 (100.0%)
Episode 275/20000 => steps=21, reward=4044.379, coverage=81/81 (100.0%)
Episode 276/20000 => steps=15, reward=3099.931, coverage=81/81 (100.0%)
Episode 277/20000 => steps=60, reward=11147.531, coverage=81/81 (100.0%)
Episode 278/20000 => steps=19, reward=3776.691, coverage=81/81 (100.0%)
Episode 279/20000 => steps=24, reward=4534.897, coverage=81/81 (100.0%)
Episode 280/20000 => steps=22, reward=4359.064, coverage=81/81 (100.0%)
Episode 281/20000 => steps=27, reward=5402.696, coverage=81/81 (100.0%)
Episode 282/20000 => steps=15, reward=3278.613, coverage=81/81 (100.0%)
Episode 283/20000 => steps=19, reward=3817.208, coverage=81/81 (100.0%)
Episode 284/20000 => steps=117, reward=21770.286, coverage=81/81 (100.0%)
Episode 285/20000 => steps=21, reward=4313.685, coverage=81/81 (100.0%)
Episode 286/20000 => steps=15, reward=3115.548, coverage=81/81 (100.0%)
Episode 287/20000 => steps=19, reward=3922.935, coverage=81/81 (100.0%)
Episode 288/20000 => steps=20, reward=4027.195, coverage=81/81 (100.0%)
Episode 289/20000 => steps=15, reward=3235.754, coverage=81/81 (100.0%)
Episode 290/20000 => steps=214, reward=38889.629, coverage=81/81 (100.0%)
Episode 291/20000 => steps=19, reward=3872.765, coverage=81/81 (100.0%)
Episode 292/20000 => steps=792, reward=144310.765, coverage=81/81 (100.0%)
Episode 293/20000 => steps=229, reward=40491.904, coverage=81/81 (100.0%)
Episode 294/20000 => steps=15, reward=3313.403, coverage=81/81 (100.0%)
Episode 295/20000 => steps=21, reward=4204.173, coverage=81/81 (100.0%)
Episode 296/20000 => steps=71, reward=13023.255, coverage=81/81 (100.0%)
Episode 297/20000 => steps=17, reward=3532.529, coverage=81/81 (100.0%)
Episode 298/20000 => steps=25, reward=4992.108, coverage=81/81 (100.0%)
Episode 299/20000 => steps=87, reward=16381.014, coverage=81/81 (100.0%)
Episode 300/20000 => steps=113, reward=20770.077, coverage=81/81 (100.0%)
Episode 301/20000 => steps=325, reward=57157.899, coverage=81/81 (100.0%)
Episode 302/20000 => steps=121, reward=22898.882, coverage=81/81 (100.0%)
Episode 303/20000 => steps=57, reward=10169.031, coverage=81/81 (100.0%)
Episode 304/20000 => steps=154, reward=28095.596, coverage=81/81 (100.0%)
Episode 305/20000 => steps=193, reward=33514.390, coverage=81/81 (100.0%)
